trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-108.52477696139843,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-138.77280512499004,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-117.84680826566765,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,12,0.4573020649725894,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",25,0,-159.42894158468516,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,0,-50.751718935913594,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-36.84051773438585,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,10,-104.14086904576268,"{0: 7, 1: 1, 2: 3, 3: 4, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",30,0,-247.25686441568135,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-86.46372013878576,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-60.305624826660356,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-50.513587853590785,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-65.03565833442963,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-46.36711422930804,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,14,-92.71394137212371,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-36.99669202122713,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-41.83420664031481,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,11,-19.69748805841737,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-114.13754948614566,"{0: 8, 1: 0, 2: 11, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,5,-34.82599967885297,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,13,1.2605198846903531,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,0,-55.020245869908614,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-72.69293880224497,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,8,-132.21433896192679,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 2}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-103.19894162300143,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,11,-69.31851794745697,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-50.83170722116936,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-81.02526024164695,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-92.76165260534061,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,5,-27.406873362654522,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-110.84867946724003,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,0,-78.56753554129415,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-91.21858698076733,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
